Cust_ID,Target,Age,Gender,Balance,Occupation,No_OF_CR_TXNS,SCR,Holding_Period
C11744,0,39,M,225555,SAL,47,471,5
C11745,0,34,M,225555,PROF,4,422,19
C11746,0,53,M,10094.79,SAL,24,280,19
C11747,0,37,M,7373.89,SELF-EMP,19,291,27
C11748,0,45,M,80851.81,SELF-EMP,3,202,11
C11749,0,27,M,122823.34,SAL,48,302,9
C1175,0,30,M,113148.36,PROF,16,175,3
C11750,0,54,M,225555,SAL,28,279,27
C11751,0,31,M,14360.75,SELF-EMP,37,774,26
C11752,0,42,M,57005.18,SELF-EMP,0,280,5
C11753,1,52,M,63333.78,SAL,0,444,1
C11754,0,30,M,84797.85,SAL,3,406,23
C11755,0,43,M,176080.41,PROF,5,783,6
C11756,1,45,M,9574.92,SAL,18,724,1
C11757,0,37,M,225555,SELF-EMP,12,792,11
C11758,0,35,M,44329.39,SELF-EMP,34,855,7
C11759,0,31,M,44998.58,SELF-EMP,30,468,24
C1176,1,29,M,2031.08,SAL,22,947,1
C11760,0,28,M,222431.98,SAL,29,563,12
C11761,0,37,M,79648.95,SAL,23,125,7
C11762,0,48,M,4425.02,SELF-EMP,39,585,10
C11763,0,28,M,12897.28,SAL,29,981,6
C11764,1,34,M,13928.87,SELF-EMP,43,779,13
C11765,1,31,M,180123.82,SAL,47,143,15
C11766,0,46,M,12242.15,SAL,34,120,27
C11767,0,36,M,55525.27,SAL,6,297,2
C11768,0,43,M,75199.59,SELF-EMP,41,421,17
C11769,0,55,M,147181.5,PROF,21,995,17
C1177,0,53,M,13903.98,SAL,12,879,17
C11770,1,32,M,65796.13,SAL,25,186,14
C11771,0,50,M,30474.34,SAL,49,493,2
C11772,0,43,M,5279.44,SAL,1,794,17
C11773,0,31,M,68167.6,SELF-EMP,27,384,22
C11774,0,35,M,102557.38,SAL,11,366,30
C11775,0,23,M,46625.44,SAL,25,679,7
C11776,0,33,M,28028.9,SAL,7,778,2
C11777,1,37,M,23458.02,SAL,45,839,13
C11778,0,54,M,4605.69,SAL,49,347,21
C11779,0,29,M,151733.27,SAL,33,356,12
C1178,0,45,M,31024.59,SAL,48,653,12
C11780,1,55,M,244677.58,SAL,38,773,15
C11781,0,55,M,2221.91,PROF,6,819,26
C11782,0,35,M,5335.78,SAL,22,176,3
C11783,0,26,M,218541.87,PROF,14,915,22
C11784,0,45,M,11826.78,PROF,31,833,27
C11785,0,48,M,117479.82,SAL,4,226,28
C11786,1,28,M,225555,SAL,37,241,15
C11787,0,55,M,164487.9,SAL,8,351,11
C11788,0,30,M,55574.55,SELF-EMP,43,380,31
C11789,0,52,M,100386.28,SAL,45,351,25
C1179,0,33,M,4515.63,SAL,34,681,17
C11790,0,47,M,8219.2,PROF,29,475,10
C11791,0,28,M,501977.48,SELF-EMP,28,712,5
C11792,1,54,M,24093.15,SAL,34,534,18
C11793,1,28,M,225555,SAL,9,910,13
C11794,0,50,M,116826.54,SAL,4,876,22
C11795,1,50,M,165389.62,SAL,10,889,16
C11796,0,40,M,225555,SAL,40,511,6
C11797,1,37,M,225555,SAL,7,381,17
C11798,1,34,M,23310.52,SAL,38,715,14
C11799,0,31,M,580439.5,SAL,28,238,20
C118,1,50,F,29448,PROF,3,100,18
C1180,0,47,M,24129.75,SAL,10,417,10
C11800,0,29,M,204705,SELF-EMP,3,846,24
C11801,0,55,M,46017.21,SAL,43,219,23
C11802,1,47,M,103111.45,SAL,47,564,16
C11803,0,47,M,136229.42,SAL,11,192,22
C11804,1,47,M,2233.75,SAL,29,923,15
C11805,0,30,M,10839.63,SELF-EMP,6,394,4
C11806,0,45,M,178337.21,SAL,5,273,31
C11807,0,32,M,225555,SAL,41,736,5
C11808,0,39,M,32651.76,SAL,23,451,31
C11809,0,31,M,25007.53,SELF-EMP,35,982,27
C1181,0,25,M,41186.39,SAL,27,686,12
C11810,0,31,M,100488.53,PROF,45,836,8
C11811,0,37,M,225555,SELF-EMP,7,696,4
C11812,0,32,M,225555,SELF-EMP,15,356,22
C11813,0,55,M,225555,SAL,10,436,27
C11814,0,40,M,4290.79,SAL,30,174,31
C11815,0,41,M,665819.43,SAL,21,436,19
C11816,0,38,M,249174.39,SAL,29,821,28
C11817,0,33,M,45737.44,SAL,43,185,3
C11818,0,42,M,111979.44,PROF,33,487,20
C11819,1,44,M,43022.44,SAL,5,773,1
C1182,0,28,M,6417.38,SENP,32,778,30
C11820,0,28,M,40239.42,SAL,48,404,1
C11821,0,31,M,14708.06,SELF-EMP,16,778,28
C11822,0,35,M,143619.3,PROF,11,934,22
C11823,0,29,M,27879.1,SELF-EMP,19,638,8
C11824,0,33,M,225555,SELF-EMP,36,287,9
C11825,0,26,M,614581.31,SELF-EMP,34,883,12
C11826,0,26,M,123277.58,SELF-EMP,32,895,10
C11827,0,28,M,44841.53,PROF,49,935,31
C11828,0,31,M,225555,PROF,28,125,11
C11829,0,44,M,33945.61,PROF,29,153,26
C1183,1,29,M,25312.59,SENP,47,863,13
C11830,0,46,M,5614.39,PROF,1,395,3
C11831,0,42,M,81854.28,SELF-EMP,32,241,6
C11832,1,29,M,19247.58,SELF-EMP,40,723,13
C11833,0,36,M,63229.32,SELF-EMP,16,460,23
C11834,0,52,M,139548.35,SELF-EMP,49,396,28
C11835,1,43,M,11432.55,SELF-EMP,25,782,18
C11836,0,46,M,72628.29,SELF-EMP,22,230,25
C11837,0,28,M,96963.24,SELF-EMP,5,770,5
C11838,1,28,M,225555,SENP,39,667,18
C11839,0,51,M,18375.56,SENP,37,785,1
C1184,0,53,M,568.99,SENP,8,251,20
C11840,0,51,M,31308.31,SENP,1,948,21
C11841,0,53,M,3035.28,SENP,35,911,23
C11842,1,34,M,18977.01,SENP,47,776,29
C11843,0,33,M,18692.19,SENP,49,204,19
C11844,0,31,M,225555,SAL,48,555,30
C11845,1,48,M,113496.74,SAL,42,862,16
C11846,0,31,M,165461.41,SAL,10,269,23
C11847,0,43,M,126767.14,SAL,27,607,26
C11848,0,55,M,133310.23,PROF,1,393,31
C11849,0,53,M,11206.37,PROF,48,553,14
C1185,1,53,M,74656.15,SENP,37,401,17
C11850,0,45,M,68983.84,PROF,19,788,30
C11851,0,29,M,56218.4,PROF,22,933,2
C11852,0,23,M,223328.4,SENP,15,713,20
C11853,0,35,M,44249.18,SENP,47,444,3
C11854,0,39,M,184814.29,SENP,40,146,5
C11855,0,28,M,126038.55,SENP,20,244,23
C11856,0,37,M,16939.69,SENP,31,419,26
C11857,0,31,M,9929.27,SENP,0,550,1
C11858,0,54,M,160520.32,SENP,31,532,4
C11859,1,28,M,54272.5,PROF,27,323,18
C1186,0,37,M,16840.21,SAL,40,433,28
C11860,1,48,M,1704.75,PROF,11,436,30
C11861,0,44,M,126981.14,PROF,21,626,21
C11862,0,53,M,69063.82,PROF,24,580,6
C11863,0,48,M,153812.05,SENP,49,476,20
C11864,0,32,M,225555,SENP,23,216,20
C11865,1,27,M,26860.81,SENP,19,152,12
C11866,1,40,M,189246.67,SENP,1,571,12
C11867,0,26,M,225555,SENP,20,820,6
C11868,0,44,M,89448.86,SAL,30,790,1
C11869,0,25,M,225555,SAL,20,307,3
C1187,1,35,M,16443.21,SENP,45,506,15
C11870,0,34,M,108726.26,SAL,27,103,13
C11871,0,28,M,585295.66,SENP,46,834,20
C11872,1,53,M,225555,PROF,36,118,12
C11873,0,55,M,201136.85,PROF,37,629,27
C11874,1,46,M,225555,SAL,11,327,12
C11875,0,50,M,133173.53,SAL,39,186,21
C11876,1,46,M,23977.59,SAL,44,626,12
C11877,0,33,M,35972.38,SAL,24,593,6
C11878,1,38,M,29805.41,SENP,1,215,18
C11879,1,29,M,4361.37,SAL,24,183,31
C1188,0,43,M,53197.6,SAL,16,905,20
C11880,0,55,M,225555,SAL,9,262,28
C11881,0,30,M,860217.4,SAL,39,195,22
C11882,0,43,M,225555,SENP,50,865,7
C11883,0,36,M,2142,PROF,12,521,14
C11884,0,39,M,158020.14,SAL,42,547,31
C11885,0,40,M,92438.21,SENP,28,226,15
C11886,1,30,M,49215.26,SAL,40,219,18
C11887,0,41,M,225555,PROF,32,544,5
C11888,0,42,M,99849.17,SAL,34,175,10
C11889,0,37,M,150323.05,PROF,9,574,20
C1189,0,51,M,61590.56,SAL,17,166,4
C11890,0,35,M,225555,SAL,39,858,13
C11891,0,27,M,153827.71,SAL,38,736,14
C11892,0,23,M,49530.36,SAL,6,378,28
C11893,0,23,M,153168.08,PROF,49,443,2
C11894,0,31,M,185307.78,SAL,38,328,15
C11895,0,40,M,225555,SAL,15,393,20
C11896,1,45,M,123659.9,SAL,35,172,17
C11897,0,33,M,4242.22,SENP,6,149,25
C11898,0,38,M,15860.41,PROF,48,525,22
C11899,0,39,M,30857.27,SAL,11,312,10
C119,0,31,F,10846.55,SAL,18,852,27
C1190,0,24,M,74396.74,SAL,17,799,4
C11900,0,38,M,225555,PROF,28,332,29
C11901,0,44,M,82254.47,PROF,18,100,24
C11902,0,28,M,32972.44,SAL,34,150,22
C11903,0,38,M,33039.15,SAL,14,366,31
C11904,0,50,M,5630.57,SAL,17,949,15
C11905,0,33,M,42934.91,SAL,37,804,20
C11906,0,43,M,6172.05,PROF,8,597,20
C11907,1,52,M,13599.1,SENP,6,918,11
C11908,0,32,M,2770.8,SAL,28,545,20
C11909,0,28,M,644634.77,SAL,2,989,9
C1191,0,34,M,195108.9,SAL,31,526,19
C11910,0,26,M,225555,SENP,50,347,7
C11911,0,46,M,225555,SENP,10,269,29
C11912,0,39,M,120001.51,PROF,30,996,24
C11913,0,26,M,734244.03,PROF,10,970,6
C11914,0,24,M,26238,SAL,6,888,30
C11915,0,29,M,225555,SAL,18,770,30
C11916,0,22,M,181502.57,SAL,34,744,15
C11917,1,52,M,189519.26,PROF,19,682,16
C11918,0,27,M,225555,SENP,44,824,1
C11919,0,30,M,657579.13,SAL,1,411,10
C1192,0,37,M,219531.01,SAL,25,588,25
C11920,1,26,M,225555,SENP,38,885,18
C11921,0,29,M,14460.42,SENP,46,326,4
C11922,0,26,M,67814.45,SAL,35,661,14
C11923,0,50,M,193799.53,SAL,9,443,2
C11924,0,50,M,51783.41,SAL,1,912,22
C11925,0,43,M,225555,PROF,5,275,6
C11926,0,51,M,225555,SAL,8,471,4
C11927,0,53,M,102374.37,SENP,18,721,23
C11928,0,39,M,41981.91,PROF,45,181,2
C11929,0,51,M,8227.53,PROF,39,116,6
C1193,1,43,M,55249.27,SENP,34,539,3
C11930,0,27,M,205372.8,PROF,10,708,7
C11931,0,44,M,130376.76,SAL,12,479,4
C11932,0,23,M,69305.94,SAL,28,208,24
C11933,0,23,M,216300.95,PROF,12,322,27
C11934,0,45,M,97746.29,SENP,42,928,14
C11935,0,34,M,237106.49,SENP,45,473,27
C11936,0,34,M,31828.96,SENP,37,624,2
C11937,0,22,M,102629.71,SENP,9,520,9
C11938,0,45,M,38348.2,SAL,6,588,1
C11939,1,29,M,32784.67,PROF,11,503,12
C1194,1,35,M,7927.58,SENP,30,623,5
C11940,0,46,M,472.07,PROF,32,487,23
C11941,1,48,M,50284.95,PROF,13,777,12
C11942,0,33,M,225555,SAL,19,835,21
C11943,0,40,M,73689.21,PROF,15,162,28
C11944,0,39,M,10364.82,SAL,27,751,27
C11945,0,53,M,111702.89,SAL,17,509,30
C11946,0,36,M,34839.28,SAL,44,725,23
C11947,0,43,M,71907.31,PROF,36,919,7
C11948,0,36,M,8880.2,PROF,37,296,25
C11949,0,41,M,228238.26,PROF,50,323,9
C1195,1,55,M,108754.45,SENP,16,773,4
C11950,0,45,M,245374.56,SENP,41,503,13
C11951,0,48,M,86383.78,PROF,30,811,9
C11952,0,51,M,44553.93,SAL,24,981,21
C11953,0,28,M,503201.86,SENP,40,983,26
C11954,0,52,M,225555,SAL,20,298,26
C11955,1,48,M,225555,SAL,38,744,11
C11956,1,26,M,165481.81,SAL,39,536,17
C11957,1,36,M,17533.09,SAL,11,453,16
C11958,0,24,M,41505.74,PROF,35,664,25
C11959,0,35,M,238745.67,PROF,10,718,23
C1196,1,54,M,81953.52,SENP,13,892,10
C11960,1,39,M,8832.93,SAL,21,911,17
C11961,0,35,M,49208.63,SAL,8,339,14
C11962,1,50,M,73961.15,PROF,50,309,16
C11963,1,43,M,149524.13,SAL,29,618,12
C11964,0,30,M,121325.2,SAL,25,360,6
C11965,0,28,M,207610.43,SAL,25,191,23
C11966,0,26,M,235000,SAL,32,419,21
C11967,1,30,M,34472.52,SAL,12,566,18
C11968,0,35,M,143043.27,SAL,13,615,14
C11969,0,28,M,16180.97,SAL,28,272,7
C1197,0,27,M,161985.35,SELF-EMP,6,523,14
C11970,0,32,M,40547.5,SAL,10,500,7
C11971,0,37,M,790.8,PROF,46,622,9
C11972,0,30,M,235000,SAL,50,744,9
C11973,0,35,M,235000,SAL,17,253,5
C11974,1,53,M,235000,PROF,11,520,18
C11975,0,26,M,8183.86,PROF,0,596,31
C11976,0,46,M,6752.5,PROF,1,659,15
C11977,0,46,M,8395.74,PROF,20,933,22
C11978,0,49,M,15231.15,PROF,1,122,6
C11979,0,27,M,233431.66,SAL,22,638,16
C1198,0,35,M,155557.75,SAL,36,444,21
C11980,0,30,M,235000,SAL,36,100,23
C11981,0,44,M,37307.73,PROF,25,583,13
C11982,0,43,M,83181.8,PROF,45,574,1
C11983,0,44,M,10333.7,PROF,39,740,12
C11984,0,45,M,29141.81,SAL,41,604,23
C11985,0,55,M,93673.63,PROF,42,824,13
C11986,0,28,M,235000,PROF,44,805,19
C11987,0,27,M,235000,SAL,41,621,9
C11988,0,49,M,65104.6,SAL,27,176,2
C11989,0,32,M,235000,SAL,36,381,21
C1199,0,47,M,74696.26,SAL,46,124,19
C11990,0,34,M,203988.62,PROF,19,334,15
C11991,0,31,M,7473.53,SAL,34,755,31
C11992,0,40,M,142368.16,SAL,23,984,5
C11993,0,32,M,1246966.77,SAL,49,430,17
C11994,0,32,M,45601.53,PROF,26,273,21
C11995,0,49,M,4118.55,SAL,17,985,25
C11996,0,41,M,54909.86,PROF,6,384,3
C11997,0,32,M,73931.94,SAL,29,586,12
C11998,0,50,M,155669.15,PROF,48,546,22
C11999,0,30,M,239151.46,PROF,38,651,28
C12,0,36,M,57802.68,PROF,37,426,18
C120,1,47,F,27247.08,SELF-EMP,11,484,2
C1200,0,31,M,148445.27,SAL,22,717,28
C12000,0,23,M,246575.71,SAL,31,819,25
C12001,0,29,M,235000,PROF,43,395,10
C12002,0,40,M,102937.07,PROF,25,287,21
C12003,0,43,M,17749.23,PROF,39,580,6
C12004,0,50,M,22501.89,PROF,9,817,5
C12005,0,54,M,83176.57,PROF,26,100,1
C12006,0,47,M,83564.72,PROF,34,310,1
C12007,0,55,M,28737.07,PROF,16,250,21
C12008,0,53,M,1082.21,SAL,14,879,27
C12009,0,31,M,181225.56,SAL,22,395,23
C1201,0,24,M,895006.68,SELF-EMP,18,664,12
C12010,0,41,M,15285.92,SAL,24,682,28
C12011,0,29,M,56583.42,PROF,40,440,30
C12012,0,48,M,42792.78,PROF,4,972,23
C12013,0,32,M,76496.36,SAL,21,178,30
C12014,0,54,M,3419.51,SAL,10,184,10
C12015,0,43,M,199790.21,PROF,43,474,12
C12016,0,51,M,97419.72,PROF,36,417,12
C12017,0,46,M,118872.86,PROF,22,109,29
C12018,0,31,M,54717.16,SAL,36,857,6
C12019,0,53,M,5690.68,SELF-EMP,15,992,8
C1202,0,27,M,26807.92,SAL,2,913,4
C12020,0,39,M,13275.18,SELF-EMP,20,887,3
C12021,0,53,M,96235.35,PROF,25,669,12
C12022,0,52,M,235000,PROF,36,956,28
C12023,0,45,M,66537.48,SAL,12,557,10
C12024,0,46,M,161468.41,PROF,32,621,22
C12025,0,48,M,65507.98,SELF-EMP,13,773,19
C12026,0,51,M,235000,PROF,5,136,15
C12027,0,29,M,0.27,SELF-EMP,37,131,12
C12028,0,43,M,235000,SAL,2,113,20
C12029,0,31,M,62908.98,SAL,43,887,7
C1203,0,34,M,36423.49,SAL,36,621,6
C12030,0,53,M,22926.89,PROF,26,475,2
C12031,0,28,M,183635.22,SAL,19,943,10
C12032,0,54,M,97868.23,SAL,21,977,7
C12033,0,54,M,51318.45,SELF-EMP,49,790,6
C12034,0,42,M,235000,SAL,42,189,6
C12035,0,29,M,16647.22,SAL,6,618,1
C12036,0,48,M,6892.35,PROF,12,158,4
C12037,0,43,M,43304.22,PROF,43,101,19
C12038,0,30,M,24233.04,PROF,3,721,7
C12039,0,45,M,249034.23,SAL,36,791,31
C1204,0,50,M,33173.66,SAL,35,855,8
C12040,0,52,M,193354.9,SAL,6,569,30
C12041,0,30,M,24693.58,PROF,12,146,21
C12042,0,33,M,43807.96,PROF,31,685,19
C12043,0,34,M,5527.94,SELF-EMP,47,192,31
C12044,0,25,M,16363.34,PROF,19,939,16
C12045,0,32,M,406502.2,SAL,47,566,29
C12046,0,31,M,70497.36,PROF,34,800,25
C12047,0,32,M,170978.65,SAL,17,574,3
C12048,0,44,M,184076.95,SAL,45,787,26
C12049,0,46,M,215222.64,SELF-EMP,11,248,24
C1205,0,23,M,720605.99,SAL,50,730,26
C12050,0,32,M,235012.05,PROF,31,303,31
C12051,0,29,M,247567.74,PROF,46,410,5
C12052,0,29,M,38766.97,PROF,4,277,11
C12053,0,36,M,6398.86,PROF,21,281,20
C12054,0,44,M,9709.28,PROF,44,508,15
C12055,0,50,M,107461.54,SAL,27,560,17
C12056,0,28,M,24484.45,SAL,49,523,24
C12057,0,35,M,54966.86,SAL,17,370,9
C12058,0,28,M,2805.62,PROF,35,548,21
C12059,0,37,M,232174.93,PROF,9,329,28
C1206,0,53,M,7534.13,SELF-EMP,42,999,26
C12060,0,26,M,326938.09,PROF,35,345,19
C12061,0,43,M,81254.75,PROF,37,903,16
C12062,0,46,M,142628.66,PROF,29,515,8
C12063,0,31,M,68754.7,SAL,29,665,16
C12064,0,29,M,21252.38,PROF,13,253,18
C12065,0,53,M,40121.51,SAL,28,231,27
C12066,0,51,M,120319.07,SAL,43,378,12
C12067,0,42,M,287810.57,SAL,24,261,27
C12068,0,50,M,302596.74,PROF,18,828,21
C12069,0,40,M,131478.61,SAL,8,633,11
C1207,0,30,M,11095.78,SAL,42,458,30
C12070,0,40,M,356862.81,PROF,28,830,20
C12071,0,32,M,292098.05,PROF,0,448,29
C12072,0,34,M,5174.15,SELF-EMP,23,704,1
C12073,0,29,M,35564.15,SAL,40,609,8
C12074,0,32,M,39398.81,SELF-EMP,1,734,15
C12075,0,28,M,31821.99,PROF,20,527,2
C12076,0,28,M,74829.23,SAL,38,341,20
C12077,0,29,M,52119.83,SAL,41,779,19
C12078,0,28,M,43868.67,PROF,10,515,17
C12079,0,27,M,48221.38,SAL,8,394,14
C1208,0,28,M,169520.36,SAL,4,761,18
C12080,0,30,M,41491.73,SAL,42,907,15
C12081,0,26,M,28982.51,PROF,17,196,19
C12082,0,27,M,45480.63,PROF,3,761,5
C12083,0,28,M,59142.19,SAL,41,894,11
C12084,0,28,M,24342.87,SAL,6,876,5
C12085,0,28,M,23840.81,SAL,34,784,5
C12086,0,33,M,24348.09,SAL,29,583,17
C12087,0,53,M,13268.07,SAL,9,743,28
C12088,0,34,M,58670.51,SELF-EMP,11,157,14
C12089,0,36,M,103649.97,SELF-EMP,34,482,7
C1209,0,39,M,221991.86,SAL,33,271,3
C12090,0,35,M,982.83,SAL,44,957,11
C12091,0,38,M,13471.37,SAL,20,505,19
C12092,0,36,M,42987.05,SAL,44,462,24
C12093,0,42,M,23044.04,SAL,1,693,4
C12094,0,45,M,432624.36,PROF,25,810,7
C12095,0,24,M,175824.64,SAL,2,127,17
C12096,0,51,M,280198.02,PROF,41,767,1
C12097,0,34,M,96206.12,PROF,48,875,11
C12098,0,38,M,255159.83,PROF,2,456,7
C12099,0,32,M,149447.75,PROF,2,383,1
C121,0,52,F,7507.37,SAL,43,464,8
C1210,0,27,M,95986.26,SELF-EMP,46,509,26
C12100,0,34,M,23999.73,PROF,4,990,26
C12101,0,26,M,66451.03,PROF,2,733,4
C12102,0,47,M,219788.78,PROF,15,575,20
C12103,0,43,M,24119.06,PROF,45,159,24
C12104,0,26,M,2410.43,SAL,35,651,1
C12105,0,55,M,49388.97,PROF,37,457,13
C12106,0,24,M,392252.72,SELF-EMP,7,386,19
C12107,0,24,M,58801.71,SAL,16,638,3
C12108,0,47,M,21221.84,PROF,1,720,1
C12109,0,43,M,400880.39,PROF,19,940,12
C1211,0,31,M,26364.96,SAL,10,287,19
C12110,0,42,M,95326.91,PROF,29,326,23
C12111,0,33,M,29959.84,SAL,49,117,3
C12112,0,30,M,82629.35,PROF,34,464,14
C12113,0,29,M,324581.11,SAL,0,623,13
C12114,0,40,M,347862.07,SELF-EMP,24,774,8
C12115,0,32,M,77936.82,SAL,46,908,28
C12116,0,39,M,135647.81,SAL,7,953,21
C12117,0,37,M,27130.29,PROF,17,141,26
C12118,0,34,M,241667.33,SAL,13,567,8
C12119,0,27,M,137357.96,PROF,27,994,4
C1212,0,33,M,21125.17,PROF,5,283,13
C12120,0,54,M,196573.66,SAL,40,352,10
C12121,0,24,M,89871.8,PROF,19,630,27
C12122,0,32,M,19216.45,PROF,45,926,27
C12123,0,39,M,8161.86,PROF,1,626,28
C12124,0,39,M,2385.85,SAL,16,351,8
C12125,0,22,M,23813.59,SAL,11,326,6
C12126,0,29,M,37641,PROF,32,777,8
C12127,0,29,M,157631.6,SAL,27,182,1
C12128,0,46,M,28923.53,PROF,3,756,23
C12129,0,37,M,18688.55,SAL,42,835,30
C1213,0,34,M,69379.83,SAL,43,551,10
C12130,0,40,M,113170.84,PROF,50,313,20
C12131,0,40,M,307911.42,PROF,21,619,11
C12132,0,29,M,246343.2,PROF,38,182,22
C12133,0,51,M,12042.46,SAL,32,900,6
C12134,0,54,M,66606.69,SAL,25,465,18
C12135,0,45,M,26938.87,SAL,22,419,4
C12136,0,32,M,45881.22,SAL,42,785,23
C12137,0,44,M,326649.69,SAL,21,560,6
C12138,0,30,M,292959.18,SAL,44,998,26
C12139,0,45,M,135581.31,SAL,23,562,21
C1214,0,36,M,39267.24,PROF,13,195,27
C12140,0,26,M,667833.64,SAL,1,617,16
C12141,0,36,M,232155.39,PROF,11,863,16
C12142,0,39,M,221552.89,PROF,13,529,5
C12143,0,30,M,12420.1,SAL,25,819,27
C12144,0,55,M,185502.51,SAL,36,954,8
C12145,0,43,M,29328.4,PROF,33,235,25
C12146,0,22,M,105399.95,SAL,42,308,21
C12147,0,28,M,656869.44,PROF,33,966,2
C12148,0,44,M,60667.41,SAL,8,939,16
C12149,0,50,M,172795.76,PROF,46,148,4
C1215,0,32,M,64087.69,SAL,3,322,24
C12150,0,35,M,393412.71,PROF,10,449,4
C12151,0,31,M,38936.28,SAL,11,635,3
C12152,0,39,M,770949.78,SAL,25,821,10
C12153,0,38,M,130398.08,SAL,29,757,6
C12154,0,28,M,1526.6,PROF,49,423,17
C12155,0,25,M,48456.96,PROF,1,442,25
C12156,0,34,M,23673.81,PROF,26,451,1
C12157,0,52,M,63206.4,SAL,43,827,14
C12158,0,43,M,297634.4,PROF,44,950,12
C12159,0,41,M,29385.14,PROF,25,970,17
C1216,0,33,M,29249.88,SELF-EMP,15,954,13
C12160,0,52,M,85196.35,PROF,11,246,27
C12161,0,28,M,17429.27,PROF,47,159,7
C12162,0,31,M,69441.97,SAL,16,502,18
C12163,0,38,M,36837.11,PROF,0,922,9
C12164,0,51,M,100168.48,PROF,35,134,18
C12165,0,43,M,77616.44,PROF,27,549,24
C12166,0,38,M,124571.81,SAL,32,660,19
C12167,0,51,M,163243.21,PROF,6,400,28
C12168,0,36,M,0,SAL,26,794,20
C12169,1,49,M,123414.68,SAL,13,368,29
C1217,0,31,M,55532.88,SELF-EMP,23,235,13
C12170,0,54,M,63661.76,SAL,45,266,4
C12171,0,41,M,76995.42,SAL,3,228,19
C12172,1,42,M,13740.87,PROF,26,324,31
C12173,0,54,M,6215.93,SAL,24,773,16
C12174,0,44,M,108601.91,SAL,0,965,21
C12175,0,54,M,66858.44,SAL,1,846,22
C12176,0,55,M,261261.34,SAL,10,941,7
C12177,0,29,M,308625.46,SAL,40,629,10
C12178,0,32,M,8177.85,SAL,39,850,1
C12179,0,33,M,2827.47,SAL,22,562,29
C1218,0,33,M,55241.43,SAL,49,303,29
C12180,0,48,M,0,SAL,50,164,8
C12181,0,27,M,62479.09,SAL,7,928,14
C12182,0,29,M,234568.45,SAL,33,501,8
C12183,0,42,M,225675.69,SAL,33,107,21
C12184,0,32,M,335171.55,SAL,23,741,24
C12185,0,52,M,326669.37,SAL,34,276,16
C12186,0,39,M,560365.11,SAL,20,970,10
C12187,0,52,M,9651.01,SAL,29,796,12
C12188,0,53,M,15058.09,SAL,18,238,27
C12189,0,29,M,159437.83,SAL,41,452,3
C1219,0,32,M,65053.59,SAL,16,983,6
C12190,0,27,M,309023.06,SAL,28,259,29
C12191,0,37,M,30057.24,SAL,20,593,5
C12192,0,33,M,147139.28,SAL,33,829,12
C12193,0,29,M,221244.75,SAL,35,836,24
C12194,0,25,M,0,SELF-EMP,43,671,17
C12195,0,48,M,5405.8,SAL,45,681,23
C12196,0,26,M,16045.48,SAL,11,555,16
C12197,0,52,M,135366.63,SAL,17,433,18
C12198,0,33,M,83476.6,SELF-EMP,47,616,22
C12199,0,36,M,80999.28,SAL,48,387,13
C122,0,54,F,243324.6,SAL,38,482,10
C1220,0,38,M,62477.7,SAL,4,949,8
C12200,0,52,M,21426.05,SAL,10,950,17
C12201,0,52,M,17591.77,SAL,36,808,15
C12202,0,41,M,30104.27,SAL,49,183,11
C12203,0,26,M,36649.97,SELF-EMP,30,519,27
C12204,0,43,M,19724.82,SAL,23,891,16
C12205,0,36,M,9422.2,SAL,47,727,10
C12206,0,33,M,13634.47,SAL,33,559,19
C12207,0,51,M,180227.45,SELF-EMP,8,167,2
C12208,0,26,M,566737.29,SAL,26,379,21
C12209,0,27,M,27329.25,PROF,9,582,10
C1221,0,26,M,59626.92,SAL,3,246,6
C12210,0,25,M,488263.24,SAL,4,427,28
C12211,0,27,M,248688.55,PROF,12,360,21
C12212,0,29,M,192676.88,SAL,43,984,1
C12213,0,33,M,6869.45,SELF-EMP,9,780,29
C12214,0,52,M,28269.16,SELF-EMP,36,369,7
C12215,0,54,M,180051.61,SAL,5,637,1
C12216,0,49,M,680060.99,SAL,36,406,28
C12217,0,52,M,24130.95,SAL,40,586,14
C12218,0,47,M,557.15,SAL,25,224,7
C12219,0,54,M,40150.26,SELF-EMP,18,291,23
C1222,0,32,M,45849.19,SELF-EMP,2,916,1
C12220,0,44,M,337037.24,SELF-EMP,38,265,15
C12221,0,33,M,71586.47,SAL,14,648,26
C12222,0,24,M,294294.48,SAL,9,993,4
C12223,0,49,M,1743.93,SELF-EMP,11,871,14
C12224,0,41,M,17359.79,SELF-EMP,37,980,14
C12225,0,37,M,58031.65,SELF-EMP,8,269,9
C12226,0,41,M,516197.79,SELF-EMP,18,448,12
C12227,0,36,M,49202.94,SAL,19,196,17
C12228,0,37,M,91548.99,SAL,34,246,8
C12229,0,43,M,17971.2,SAL,39,570,3
C1223,0,27,M,17584.95,SELF-EMP,47,160,17
C12230,0,36,M,88465.52,SAL,47,259,24
C12231,0,55,M,100096.57,SAL,25,816,31
C12232,0,49,M,62975.86,SELF-EMP,25,564,12
C12233,0,50,M,78556.77,SAL,33,927,28
C12234,0,55,M,144476.17,PROF,14,777,1
C12235,0,26,M,89783.88,SAL,41,337,18
C12236,0,53,M,119225.95,SAL,21,644,28
C12237,0,33,M,31149.37,SAL,41,991,26
C12238,0,53,M,153965.09,SAL,24,320,7
C12239,0,55,M,11552,SAL,23,571,15
C1224,0,47,M,15190.21,SAL,21,961,20
